Tên sản phẩm,Thương hiệu,Giá,Điểm đánh giá trung bình,Lượt đánh giá
Foil Mandala Graphic Tee,adidas,500000.0,4.5,8.0
FARM Rio Print Relaxed Lightweight Windbreaker,adidas,1300000.0,4.8,43.0
Adilette Comfort Slides,adidas,600000.0,4.8,84.0
Santiago Lunch Bag,adidas,500000.0,5.0,51.0
Club Tennis 3-Stripes Tee,adidas,800000.0,4.8,39.0
Cloudfoam Pure 2.0  Shoes,adidas,1400000.0,4.4,594.0
Adilette Comfort Slides,adidas,700000.0,4.7,3812.0
Designed to Move High-Rise Sport Zebra 7/8 Tights,adidas,900000.0,3.7,20.0
Nike Dri-FIT,Nike,700000.0,,
Cushioned X Mid-Crew Socks 3 Pairs,adidas,375000.0,5.0,5.0
Originals Flex Shoes,adidas,1400000.0,4.5,41.0
Air Jordan 1 Low SE,Nike,2375000.0,,
adidas Sportswear Future Icons Logo Graphic Pants,adidas,1100000.0,4.7,44.0
Supernova+ Shoes,adidas,1800000.0,4.3,151.0
Puremotion Shoes,adidas,1200000.0,4.9,18.0
Nizza Platform Shoes,adidas,1150000.0,4.7,1599.0
Nike Air Force 1 LV8 Utility,Nike,1924250.0,,
AEROREADY Designed to Move Sport Motion Logo Tee,adidas,525000.0,4.5,46.0
ZX 2K Shoes,adidas,1200000.0,4.9,27.0
adidas Z.N.E. Sportswear Pants,adidas,1500000.0,4.8,30.0
Indicator Jacket,adidas,1000000.0,4.8,4.0
Classic 3-Stripes Swimsuit,adidas,1000000.0,4.5,35.0
Crew Sweatshirt,adidas,1400000.0,5.0,1.0
Vintage Airliner Luxe Shopper Bag,adidas,1025000.0,4.7,132.0
HEAT.RDY Running Tank Top,adidas,1025000.0,4.8,9.0
Air Jordan 1 Zoom CMFT,Nike,3750000.0,4.8,120.0
Karlie Kloss Bikini Top,adidas,875000.0,4.8,4.0
Jacquard Trefoil Crew Socks 2 Pairs,adidas,300000.0,5.0,9.0
Nike Offline Pack,Nike,2324250.0,4.8,5.0
Superstar Shoes,adidas,1800000.0,4.8,1866.0
Air Jordan XXXV Low DS PF,Nike,4125000.0,,
Runfalcon 2.0 Shoes,adidas,900000.0,4.6,451.0
Brand Love Repeat Logo High-Waist Woven Pants,adidas,900000.0,4.3,16.0
Solid Swim Shorts,adidas,500000.0,4.6,70.0
Graphic Tee and Shorts Set,adidas,650000.0,5.0,1.0
X9000L4 Shoes,adidas,2450000.0,4.5,21.0
Nike College (Georgia),Nike,875000.0,,
ZX 2K Boost 2.0 Shoes,adidas,2625000.0,4.7,58.0
X Ghosted.3 Laceless Firm Ground Cleats,adidas,2000000.0,4.4,281.0
Grand Court SE Shoes,adidas,1300000.0,4.8,165.0
Nike Dri-FIT Sideline Velocity Lockup (NFL Buffalo Bills),Nike,1000000.0,,
Racer TR21 Shoes,adidas,1500000.0,4.6,377.0
Kaptir Super Shoes,adidas,1800000.0,4.2,319.0
Adicolor Essentials Trefoil Swim Shorts,adidas,700000.0,4.8,23.0
Badge of Sport Classic Tee (Plus size),adidas,500000.0,4.3,27.0
Essentials Loose Logo Tank Top,adidas,500000.0,4.8,116.0
Brand Love Slanted Logo Boyfriend Tee,adidas,575000.0,4.6,7.0
Response Super 2.0 Shoes,adidas,2025000.0,4.5,94.0
Stretch Cotton Trunk Briefs 3 Pairs,adidas,525000.0,4.4,9.0
Retrorun Shoes,adidas,1300000.0,4.5,762.0
Hamburg Shoes,adidas,1400000.0,4.8,29.0
AEROREADY Designed to Move Sport Motion Logo Hoodie,adidas,1300000.0,4.8,89.0
Own the Run Long Sleeve Tee,adidas,900000.0,4.7,350.0
ZX 2K Boost Shoes,adidas,2625000.0,4.7,2540.0
Copa Sense.3 Turf Shoes,adidas,1600000.0,4.3,106.0
Kaptir 2.0 Shoes,adidas,1300000.0,4.7,41.0
Response Super 2.0 Shoes,adidas,1575000.0,4.2,38.0
Nike Therma City Connect (MLB Boston Red Sox),Nike,2000000.0,,
HER Studio London Adilette Slides,adidas,800000.0,4.4,207.0
adidas Sportswear Future Icons 3-Stripes Pants,adidas,1100000.0,4.7,54.0
adidas Sportswear Seasonals Stadium Sweatshirt,adidas,1050000.0,4.5,2.0
Racer TR21 Shoes,adidas,1325000.0,4.8,78.0
Marimekko Adilette Slides,adidas,800000.0,4.4,207.0
adidas x Zoe Saldana AEROREADY Sport Tee,adidas,600000.0,5.0,6.0
Nike College Dri-FIT Coach (Duke),Nike,1125000.0,,
AEROREADY  Designed to Move Sport Camo-Print Shorts,adidas,600000.0,4.8,157.0
Terrex Trailmaker Hiking Shoes,adidas,1150000.0,4.7,31.0
ZX 1K Boost Shoes,adidas,2250000.0,3.9,515.0
Swift Run X Shoes,adidas,1100000.0,5.0,6.0
FortaRun Lace Running Shoes,adidas,1100000.0,4.7,104.0
Supernova+ Shoes,adidas,2100000.0,4.5,275.0
ZX 1K Shoes,adidas,1150000.0,4.7,17.0
adidas x Zoe Saldana Crop Logo Tee (Plus Size),adidas,650000.0,4.4,10.0
Nike Sportswear,Nike,874250.0,,
Ultraboost DNA 1.0 Shoes,adidas,3600000.0,4.8,584.0
Marathon Running Jacket (Plus Size),adidas,2000000.0,4.3,3.0
VFA Backpack,adidas,1000000.0,4.9,76.0
adidas Sportswear Seasonals Stadium Shorts,adidas,800000.0,4.6,8.0
Lil Stripe Ignite SZN Hoodie,adidas,1225000.0,5.0,2.0
Split Hoodie,adidas,1400000.0,4.8,32.0
ZX 1K Boost Shoes,adidas,1750000.0,4.2,77.0
Adilette Clogs,adidas,1025000.0,4.6,2005.0
Long Sleeve Dress,adidas,1400000.0,5.0,1.0
Lite Racer BYD 2.0 Shoes,adidas,1400000.0,4.6,135.0
MLB Houston Astros,Nike,2875000.0,4.8,5.0
3-Stripes Crew Socks 3 Pairs,adidas,300000.0,5.0,2.0
adidas Superstar x LEGO® Shoes,adidas,1600000.0,5.0,87.0
Stan Smith Shoes,adidas,1575000.0,4.6,1841.0
adidas Sportswear Future Icons Hoodie,adidas,1150000.0,4.6,14.0
adidas Sportswear Comfy & Chill Full Zip Hoodie,adidas,1400000.0,4.2,32.0
